Model,Accuracy,F1-Score (Macro),F1-Score (Weighted)
Custom CNN,0.3819010636501773,0.31675544144048534,0.37142878104469124
MobileNetV2 (TL),0.4409927401654567,0.35279313050193767,0.42033054245821394
EfficientNetB0 (TL),0.049299341549890255,0.0010547071588346503,0.004938878682169139
